proteinID,gram
A0A067YYM0,0
A0A067ZJB6,0
A0A067ZJC4,0
A0A067ZJM5,0
A0A067ZKD5,0
A0A068A229,1
A0A068C6Y9,1
A0A068CAR6,1
A0A068CC96,0
A0A068CCC4,1
A0A068CCD7,1
A0A068CDE9,0
A0A068CH34,1
A0A068EP83,1
A0A068ETW6,1
A0A068F1N1,1
A0A068F265,1
A0A068F335,1
A0A068Q6B6,0
A0A068Q6I2,0
A0A068YG91,1
A0A075B8L0,0
A0A075BDQ5,1
A0A075BEM5,1
A0A075BF30,1
A0A075BS11,0
A0A075BS18,0
A0A075DXC4,0
A0A075DXC6,0
A0A075E0T5,0
A0A075KJD2,1
A0A075KJI2,1
A0A075KQK4,1
A0A075LZV3,1
A0A075M087,1
A0A075M344,0
A0A075TDW7,0
A0A076G3W6,1
A0A076G4M3,1
A0A076G560,1
A0A076G5I3,0
A0A076G6B5,0
A0A076G6J8,0
A0A076G6R1,1
A0A076G810,1
A0A076G858,1
A0A076GCX5,0
A0A076GE73,1
A0A076YI64,0
A0A076YI70,0
A0A076YJF9,1
A0A076YJT5,1
A0A076YK02,1
A0A076YKD5,1
A0A076YLE5,0
A0A076YLJ5,1
A0A076YLP0,1
A0A076YNF7,1
A0A076YNQ2,1
A0A076YNV9,0
A0A076YNW8,1
A0A076YPB7,1
A0A076YQC8,1
A0A077K808,0
A0A077KCE6,0
A0A077KYL8,0
A0A077SLF3,0
A0A088C3L3,0
A0A088C412,0
A0A088C463,0
A0A088C4F3,0
A0A088C4I6,0
A0A088C4T8,0
A0A088C516,0
A0A088CC28,0
A0A088CPU7,1
A0A088F675,1
A0A088F6M8,0
A0A088F6V6,0
A0A088F7M0,1
A0A088F8C4,0
A0A088F9V0,0
A0A088FAJ9,0
A0A088FB05,0
A0A088FB20,0
A0A088FB91,1
A0A088FBW1,0
A0A088FC03,0
A0A088FLK9,0
A0A088FNU9,1
A0A088FPL1,1
A0A088FRM7,1
A0A088FRS5,0
A0A088FRX7,1
A0A088FS33,0
A0A088FS36,1
A0A088FTD9,1
A0A088FTN0,1
A0A088FUQ2,1
A0A088FVH2,0
A0A088FVW8,1
A0A088FWP5,0
A0A090C9L7,1
A0A090D803,1
A0A090D823,1
A0A096P730,0
A0A096VKH0,0
A0A096VKT4,0
A0A096VL24,0
A0A096VL47,0
A0A096XEM2,0
A0A096XT38,1
A0A096XUY6,0
A0A096XV00,1
A0A096XV24,1
A0A096XV59,1
A0A096XVA7,1
A0A097BWY0,0
A0A097BWZ0,0
A0A097BXB5,1
A0A097BXK3,1
A0A097BXU1,1
A0A097BY70,1
A0A097BY89,1
A0A097BYL6,1
A0A097EVH7,1
A0A097EVK7,1
A0A097EW36,0
A0A097EW57,1
A0A097EWL8,1
A0A097EYN8,1
A0A097J0Z7,0
A0A097J142,0
A0A097J1Q8,0
A0A097J1R3,0
A0A097J2L3,0
A0A097J2M3,0
A0A097J388,0
A0A097J3G5,0
A0A097J444,0
A0A097J478,0
A0A097J4W4,0
A0A097J4X0,0
A0A097J5P1,0
A0A097J5Q0,0
A0A097J6F5,0
A0A097J6F6,0
A0A097J783,0
A0A097J792,0
A0A097J7Z5,0
A0A097J809,0
A0A097J8S9,0
A0A097J8T6,0
A0A097PAP8,0
A0A097PAT3,1
A0A097QQ33,1
A0A0A0P1Q4,0
A0A0A0PKS1,1
A0A0A0PLI4,1
A0A0A0PQA1,1
A0A0A0PUM0,1
A0A0A0PXE7,0
A0A0A0PXF4,0
A0A0A0Q2F3,0
A0A0A0Q3G3,0
A0A0A0Q4E0,1
A0A0A0RKF2,0
A0A0A0RKX1,1
A0A0A0RLD4,1
A0A0A0RLZ4,1
A0A0A0RMY8,1
A0A0A0RN22,1
A0A0A0RNJ7,1
A0A0A0RNQ7,1
A0A0A0RNZ5,1
A0A0A0RPG5,0
A0A0A0RPZ6,1
A0A0A0RQG1,1
A0A0A0RR05,0
A0A0A0RRL8,1
A0A0A0RSR8,1
A0A0A0RV08,1
A0A0A0RVT4,0
A0A0A0YP73,0
A0A0A0YS76,0
A0A0A0YSC3,1
A0A0A0YSJ1,0
A0A0A0YSS3,0
A0A0A0YUW7,0
A0A0A0YV41,1
A0A0A0YVH4,0
A0A0A0YWA6,0
A0A0A1EL78,1
A0A0A1ENI4,1
A0A0A1ERA5,1
A0A0A1I5L5,0
A0A0A1IU37,0
A0A0A1IUI8,0
A0A0A1IUP1,0
A0A0A1IUR9,0
A0A0A1IVD1,0
A0A0A1IVZ0,0
A0A0A1IW45,0
A0A0A1IWP6,0
A0A0A6Z5A7,0
A0A0A6ZK76,0
A0A0A7AQV3,1
A0A0A7CI10,1
A0A0A7DMK9,1
A0A0A7DN24,1
A0A0A7DVL4,0
A0A0A7H9Y7,0
A0A0A7HA56,0
A0A0A7HAM9,0
A0A0A7HAX7,0
A0A0A7HBN1,0
A0A0A7HC85,0
A0A0A7HC93,0
A0A0A7HCS4,0
A0A0A7HCY0,0
A0A0A7HDK6,1
A0A0A7HDR1,0
A0A0A7HDT9,0
A0A0A7HE01,0
A0A0A7HEH1,0
A0A0A7HEI1,0
A0A0A7HER1,1
A0A0A7HFX4,0
A0A0A7NRS1,0
A0A0A7NU10,1
A0A0A7RSH3,0
A0A0A7RSR5,0
A0A0A7RTE2,1
A0A0A7RTQ5,1
A0A0A7RU71,1
A0A0A7RUD5,1
A0A0A7RUJ1,1
A0A0A7RUN1,1
A0A0A7RUS8,1
A0A0A7RUU1,1
A0A0A7RV55,1
A0A0A7RV81,1
A0A0A7RVQ3,1
A0A0A7RW27,1
A0A0A7RWC1,1
A0A0A7RWZ0,1
A0A0A7S0M4,1
A0A0A7S1Y8,1
A0A0A7S2Q4,1
A0A0A7S349,1
A0A0A7TY81,0
A0A0A8IK88,0
A0A0A8J856,0
A0A0A8J8S6,0
A0A0A8KXD2,0
A0A0A8KXL2,0
A0A0A8KXN5,0
A0A0A8WE15,1
A0A0A8WEA8,1
A0A0A8WEZ4,1
A0A0A8WFX1,1
A0A0A8WHU0,1
A0A0A8WI59,1
A0A0A8WIC2,1
A0A0A8WIP6,1
A0A0A8WJ04,1
A0A0A8WJ99,1
A0A0B4L916,0
A0A0B4L9A9,0
A0A0B4MYW5,1
A0A0B4N1I9,0
A0A0B4N5U5,0
A0A0B4UHR3,0
A0A0B4ZXC2,0
A0A0B4ZZC7,0
A0A0B4ZZH2,0
A0A0B5A075,1
A0A0B5A0K7,1
A0A0B5A0U2,1
A0A0B5A2B2,1
A0A0B5A3P4,1
A0A0B5A4W2,1
A0A0B5A5A2,0
A0A0B5A693,1
A0A0B5A6N7,0
A0A0B5A6U7,0
A0A0B5A729,0
A0A0B5CTW5,1
A0A0B5D123,1
A0A0B5GYD7,0
A0A0B5H8S9,0
A0A0B5HA99,0
A0A0B5KND4,0
A0A0B5KNE7,0
A0A0B5KTF7,0
A0A0B5KTG2,0
A0A0B5KTG8,0
A0A0B5KZF8,0
A0A0B5KZG2,0
A0A0B5KZG5,0
A0A0B5L1J1,0
A0A0B5L5F7,0
A0A0B5L5G0,0
A0A0B5L5G7,0
A0A0B6VNQ0,0
A0A0B6VR25,0
A0A0B6VT10,0
A0A0B6VTU9,0
A0A0B7MRT1,0
A0A0B7MSQ4,0
A0A0C4K550,0
A0A0C4K626,0
A0A0C4UQU4,0
A0A0C4Y1Z9,0
A0A0C5AC42,1
A0A0C5AEW3,1
A0A0C5AFD4,1
A0A0C5AFG6,1
A0A0C5AFS6,0
A0A0C5AIN0,0
A0A0C5AJ66,1
A0A0C5AMR8,1
A0A0C5AMZ6,1
A0A0C5AN35,1
A0A0C5K6P4,1
A0A0C5KKZ6,1
A0A0C5PHX8,0
A0A0C5PS51,0
A0A0C5PVL1,0
A0A0C5Q3S9,0
A0A0D3MK08,1
A0A0D3MKG1,1
A0A0D3MSN1,1
A0A0D3MSS4,1
A0A0D3MUT0,1
A0A0D3MVN5,1
A0A0D3MVQ2,1
A0A0D3QHK9,0
A0A0D3QHM9,0
A0A0D4DAU1,0
A0A0D4DBF6,0
A0A0D4DBV7,1
A0A0D4DC08,0
A0A0D4DCJ5,0
A0A0D4DD04,1
A0A0D5BI97,0
A0A0E3D9B5,1
A0A0E3DEU5,1
A0A0E3DJI0,1
A0A0E3DJL6,1
A0A0E3DK66,1
A0A0E3DKC5,1
A0A0E3DKR2,1
A0A0E3DKY8,1
A0A0E3DL29,1
A0A0E3DLA2,1
A0A0E3DLA4,1
A0A0E3DLE7,1
A0A0E3DLE9,1
A0A0E3DLI9,1
A0A0E3DLJ0,1
A0A0E3DLJ1,1
A0A0E3DLJ8,1
A0A0E3DLK4,1
A0A0E3DLN5,1
A0A0E3DLN6,1
A0A0E3DLP8,1
A0A0E3DM53,1
A0A0E3DMA4,1
A0A0E3DMB4,1
A0A0E3DMD9,1
A0A0E3DMG9,1
A0A0E3DMJ0,1
A0A0E3DMK9,1
A0A0E3DMM6,1
A0A0E3DN21,1
A0A0E3DNS8,1
A0A0E3DP81,1
A0A0E3DPA1,1
A0A0E3DPB8,1
A0A0E3DPD7,1
A0A0E3DPF3,1
A0A0E3DPG9,1
A0A0E3EPI3,0
A0A0E3EQW1,0
A0A0E3F2G4,0
A0A0E3F3M8,0
A0A0E3F4W2,0
A0A0E3F6A4,0
A0A0E3F7G3,0
A0A0E3FAS1,0
A0A0E3FBF9,0
A0A0E3FDR5,0
A0A0E3FF86,0
A0A0E3FHR4,0
A0A0E3FK30,0
A0A0E3FK51,0
A0A0E3FMK6,0
A0A0E3FN03,0
A0A0E3FPJ6,0
A0A0E3FPV5,0
A0A0E3FR35,0
A0A0E3FSD0,0
A0A0E3G233,0
A0A0E3G3E5,0
A0A0E3G7M0,0
A0A0E3GMR0,0
A0A0E3HBI1,0
A0A0E3HBK9,0
A0A0E3HBP3,0
A0A0E3HCR0,0
A0A0E3HCU7,0
A0A0E3HD20,0
A0A0E3HD40,0
A0A0E3HES0,0
A0A0E3HGZ5,0
A0A0E3HIT9,0
A0A0E3HL41,0
A0A0E3HQI7,0
A0A0E3HS43,0
A0A0E3HT97,0
A0A0E3HVT9,0
A0A0E3HZ22,0
A0A0E3HZE4,0
A0A0E3I447,0
A0A0E3I5T3,0
A0A0E3I747,0
A0A0E3I800,0
A0A0E3I906,0
A0A0E3I9G4,0
A0A0E3I9S5,0
A0A0E3IAT3,0
A0A0E3JI96,0
A0A0E3JQE4,1
A0A0E3JQJ4,1
A0A0E3JT47,1
A0A0E3JTE2,0
A0A0E3M152,0
A0A0E3M4H9,0
A0A0E3T4W3,1
A0A0E3T611,1
A0A0E3T679,1
A0A0E3T6C0,1
A0A0E3T6F9,1
A0A0E3T6Y3,1
A0A0E3T7A8,1
A0A0E3T7X5,1
A0A0E3T822,1
A0A0E3TAN9,1
A0A0E3TBA5,1
A0A0E3X980,1
A0A0E3X9B3,1
A0A0E3X9U3,1
A0A0E3XA78,1
A0A0E3XAB7,1
A0A0E3XCC0,0
A0A0E3XCX3,1
A0A0E3Y6A6,0
A0A0E3Y6B0,0
A0A0E4BZI4,1
A0A0F6N3N1,1
A0A0F6N4K6,1
A0A0F6NY97,0
A0A0F6R5J7,0
A0A0F6R5Z1,0
A0A0F6R666,0
A0A0F6R6B1,0
A0A0F6R742,0
A0A0F6R748,0
A0A0F6R7P4,0
A0A0F6R7Z1,0
A0A0F6R884,0
A0A0F6R8C5,0
A0A0F6R8D1,0
A0A0F6R8M1,0
A0A0F6R9G3,0
A0A0F6SJF7,0
A0A0F6THI7,0
A0A0F6TIR9,0
A0A0F6TJD9,0
A0A0F6TJV1,0
A0A0F6TK04,0
A0A0F6TKN2,0
A0A0F6WBX9,0
A0A0F6WCZ4,0
A0A0F6WDH7,0
A0A0F6WE00,1
A0A0F6WE39,1
A0A0F6WE88,1
A0A0F6WEB0,1
A0A0F6WEB5,1
A0A0F6YPI2,0
A0A0F6YQE4,1
A0A0F6YQN9,1
A0A0F6YQU5,1
A0A0F6YQV5,0
A0A0F6YQY4,1
A0A0F6YRF6,0
A0A0F6YRS1,1
A0A0F7DD09,0
A0A0F7DDA4,1
A0A0F7IJV6,0
A0A0F7IJZ9,0
A0A0F7IL77,1
A0A0F7LBS0,0
A0A0F7LBY8,0
A0A0F7LDR8,0
A0A0G2SS69,0
A0A0G2SSI0,0
A0A0G2SSJ3,0
A0A0G2T5U2,0
A0A0G3EVH8,0
A0A0H3U310,1
A0A0H3U325,1
A0A0H3UCP7,0
A0A0H3V0Q8,1
A0A0H3YIB7,0
A0A0H4A794,0
A0A0H4IJ63,0
A0A0H4IJ80,0
A0A0H4IJL9,0
A0A0H4IK66,0
A0A0H4IKM9,0
A0A0H4IL65,0
A0A0H4ILA8,0
A0A0H4ILU0,0
A0A0H4IM32,1
A0A0H4IM74,1
A0A0H4IMK3,0
A0A0H4IN14,0
A0A0H4IN15,0
A0A0H4INF7,1
A0A0H4INS6,0
A0A0H4INX0,0
A0A0H4IP39,0
A0A0H4IP71,0
A0A0H4IPR9,0
A0A0H4IQ40,0
A0A0H4IQH6,1
A0A0H4IQY6,0
A0A0H4IRK2,1
A0A0H4IRN8,1
A0A0H4IS22,1
A0A0H4IS52,1
A0A0H4IS90,1
A0A0H4ISD2,1
A0A0H4ISM7,1
A0A0H4ISW9,0
A0A0H4IT24,0
A0A0H4ITG0,1
A0A0H4ITZ3,1
A0A0H4IU50,1
A0A0H4IYM7,0
A0A0H4IYY9,0
A0A0H4IZQ8,0
A0A0H4J0L5,1
A0A0H4J0X6,1
A0A0H4J3E2,0
A0A0H4MLB3,0
A0A0H4TFI6,1
A0A0H4TFT7,1
A0A0H4TFZ2,1
A0A0H4TGB9,1
A0A0H4TGP8,1
A0A0H4TH14,0
A0A0H4THJ6,1
A0A0H4TI64,1
A0A0H4TIV6,1
A0A0H4TJG1,0
A0A0H4TJR0,1
A0A0H4U066,0
A0A0H4U163,1
A0A0K0L8Z4,0
A0A0K0L9F9,0
A0A0K0MWD7,1
A0A0K0MWL2,1
A0A0K0MWR8,1
A0A0K0MX08,1
A0A0K0N570,1
A0A0K0N5D8,1
A0A0K0N5F1,1
A0A0K0N5N5,1
A0A0K0N5Q5,1
A0A0K0N611,1
A0A0K0N692,1
A0A0K0N6C3,1
A0A0K0N6L3,1
A0A0K0N6L5,1
A0A0K0N6L7,1
A0A0K0N739,1
A0A0K0N745,1
A0A0K0NKI0,1
A0A0K0NKU4,1
A0A0K0PVI5,0
A0A0K0QS04,0
A0A0K0QS09,0
A0A0K0VLG5,0
A0A0K1LIU2,1
A0A0K1LK07,0
A0A0K1LK41,0
A0A0K1LKD3,1
A0A0K1LKF3,0
A0A0K1LKR7,0
A0A0K1LL70,0
A0A0K1LLB0,0
A0A0K1LLQ9,1
A0A0K1LLX7,0
A0A0K1LLY2,0
A0A0K1LMD7,1
A0A0K1LML3,0
A0A0K1LMN3,0
A0A0K1LN56,0
A0A0K1LPG6,0
A0A0K1LPK8,0
A0A0K1LPP5,0
A0A0K1LQC3,0
A0A0K1LQK3,0
A0A0K1LRC2,0
A0A0K1LRP3,1
A0A0K1LRS8,1
A0A0K1LS76,1
A0A0K1LS89,1
A0A0K1LSH0,1
A0A0K1LSK8,1
A0A0K1LT30,1
A0A0K1LTD6,1
A0A0K1Y4S3,0
A0A0K1Y4T1,0
A0A0K1Y5X7,1
A0A0K1Y6B3,1
A0A0K1Y6F2,0
A0A0K1Y6K0,1
A0A0K1Y6W1,1
A0A0K1Y763,1
A0A0K1Y764,1
A0A0K1Y7J0,0
A0A0K1Y8B3,1
A0A0K1Y913,1
A0A0K1Y9C5,1
A0A0K1Y9L3,1
A0A0K1Y9L9,1
A0A0K1Y9T8,1
A0A0K1Y9U1,1
A0A0K1YA75,1
A0A0K1YAG1,1
A0A0K1YAL3,0
A0A0K2CLB2,1
A0A0K2CLX2,1
A0A0K2CLX4,1
A0A0K2CM05,1
A0A0K2CMS0,1
A0A0K2CN38,1
A0A0K2CN55,1
A0A0K2CN83,0
A0A0K2CNS6,1
A0A0K2CP65,1
A0A0K2CPP8,1
A0A0K2CPS6,1
A0A0K2CX18,1
A0A0K2CX93,1
A0A0K2CXN7,1
A0A0K2CXQ8,1
A0A0K2CXY9,1
A0A0K2CYE7,1
A0A0K2CYI9,1
A0A0K2CYU5,1
A0A0K2CZ98,1
A0A0K2CZI0,1
A0A0K2CZQ6,1
A0A0K2CZS4,1
A0A0K2D0M9,1
A0A0K2D118,1
A0A0K2FGT0,0
A0A0K2FHF0,0
A0A0K2FHY9,0
A0A0K2FI39,0
A0A0K2FI41,0
A0A0K2FIH5,0
A0A0K2FIJ5,1
A0A0K2FIM4,1
A0A0K2FIP7,1
A0A0K2FIS2,0
A0A0K2FIT7,1
A0A0K2FJ43,1
A0A0K2FJ86,1
A0A0K2FJF9,1
A0A0K2FJH5,1
A0A0K2FJL1,1
A0A0K2FJL3,1
A0A0K2FJU2,1
A0A0K2FJW0,1
A0A0K2FK24,1
A0A0K2FKD4,1
A0A0K2FL37,1
A0A0K2FL53,1
A0A0K2FLH5,1
A0A0K2FLY9,1
A0A0K2FMG8,1
A0A0K2FMY5,1
A0A0K2FN79,1
A0A0K2FNU8,1
A0A0K2FNX7,1
A0A0K2FPQ1,1
A0A0K2QQJ4,0
A0A0K2QQQ8,0
A0A0K2SUC5,1
A0A0K2YZ09,0
A0A0K8IXP8,0
A0A0M3LPP0,0
A0A0M3LPP5,0
A0A0M3LPQ1,0
A0A0M3LPW1,0
A0A0M3LQ49,0
A0A0M3LQ89,0
A0A0M3LQR1,0
A0A0M3LQY4,0
A0A0M3LSH2,0
A0A0M3MXA6,0
A0A0M3MYZ4,0
A0A0M3UKI9,1
A0A0M3UL23,0
A0A0M3ULD1,0
A0A0M3ULG1,1
A0A0M3ULP7,1
A0A0M4F9K9,0
A0A0M4R0I4,1
A0A0M4R0N4,1
A0A0M4R365,0
A0A0M4RB81,1
A0A0M4RBB1,1
A0A0M4RCI1,1
A0A0M4RCN8,1
A0A0M4RR43,1
A0A0M4RS64,1
A0A0M4RSF9,1
A0A0M4S3F1,1
A0A0M4S3I8,1
A0A0M4S3J8,1
A0A0M4S582,0
A0A0M4S5P3,0
A0A0M4S5S0,0
A0A0M4S5S1,0
A0A0M4S679,1
A0A0M4S688,1
A0A0M5M0S0,1
A0A0M5M0S9,1
A0A0M5M0Y7,1
A0A0M5M2Y5,1
A0A0M5M5G3,1
A0A0M5M782,0
A0A0M5M794,1
A0A0M5M7B1,1
A0A0M7Q8U4,0
A0A0M7Q9L2,0
A0A0M7Q9P4,0
A0A0M7Q9Q7,0
A0A0M7QAD1,0
A0A0M7QAR8,0
A0A0M7QBV3,0
A0A0M7QCB4,0
A0A0M7QD20,0
A0A0M7QD78,0
A0A0M7QDX4,0
A0A0M7QE19,0
A0A0M7QE90,0
A0A0M7QEL8,0
A0A0M7QEM0,0
A0A0M7QFA7,0
A0A0M7QFB9,0
A0A0M7QGN9,0
A0A0M7RDM5,1
A0A0M7RER9,0
A0A0M9JDQ1,0
A0A0M9JEJ6,0
A0A0N6W8I1,1
A0A0N6WEK2,0
A0A0N6WEQ7,0
A0A0N6WEW3,0
A0A0N6WMR3,1
A0A0N6YQY9,0
A0A0N7BT41,0
A0A0N7BTK6,0
A0A0N7BU23,0
A0A0N7BVG0,0
A0A0N7BZ78,0
A0A0N7C019,0
A0A0N7C082,0
A0A0N7C095,0
A0A0N7C0I8,0
A0A0N7C0V0,0
A0A0N7C107,0
A0A0N7C177,0
A0A0N7C1K4,0
A0A0N7C1Y6,0
A0A0N7C295,0
A0A0N7C340,0
A0A0N7C3A8,0
A0A0N7C3N7,0
A0A0N7CAH6,0
A0A0N7CCS5,0
A0A0N7CEF9,1
A0A0N7CEK9,0
A0A0N7CER3,0
A0A0N7CEZ7,0
A0A0N7CF67,0
A0A0N7CFP7,0
A0A0N7GFJ7,1
A0A0N7IR99,1
A0A0N7IRE7,0
A0A0N7IRF5,0
A0A0N7IRJ4,0
A0A0N7KZA0,0
A0A0N7KZF9,0
A0A0N9BDL4,1
A0A0N9EQ32,1
A0A0N9EQQ3,1
A0A0N9EQZ1,0
A0A0N9ERA0,0
A0A0N9S7A8,1
A0A0N9SGH1,1
A0A0N9SGQ7,1
A0A0N9SGX6,1
A0A0N9SHB4,1
A0A0N9SHC3,1
A0A0N9SI93,0
A0A0N9SIA1,0
A0A0N9SIT8,1
A0A0N9SKE2,1
A0A0N9SU46,0
A0A0P0HR92,0
A0A0P0HRN9,1
A0A0P0HRZ4,0
A0A0P0HS42,0
A0A0P0HTD2,0
A0A0P0I386,1
A0A0P0I4M9,0
A0A0P0I799,1
A0A0P0IDR4,0
A0A0P0ILA5,0
A0A0P0IQA3,1
A0A0P0IUG2,0
A0A0P0IVF0,0
A0A0P0IW03,0
A0A0P0IX40,1
A0A0P0M638,1
A0A0P0M6F9,0
A0A0P0UWN1,0
A0A0P0ZBK3,0
A0A0P0ZBS9,0
A0A0P0ZC35,0
A0A0P0ZC69,0
A0A0P0ZC75,0
A0A0P0ZCG5,0
A0A0P0ZCL0,0
A0A0P0ZDF1,0
A0A0P0ZDF3,0
A0A0P0ZDS6,0
A0A0P0ZG01,0
A0A0P0ZGA2,0
A0A0P0ZGC1,0
A0A0P0ZGD7,0
A0A0P1KKJ6,0
A0A0R6CKQ4,0
A0A0R8VCQ3,1
A0A0S0N5R0,0
A0A0S0N859,0
A0A0S1RZS1,1
A0A0S1S002,0
A0A0S1S1I4,0
A0A0S1S1R8,1
A0A0S1S342,1
A0A0S1S4L7,1
A0A0S1WEN4,0
A0A0S1WFD8,0
A0A0S1WFM1,0
A0A0S1WFU7,0
A0A0S1WGA3,0
A0A0S1WGC6,0
A0A0S1WGL5,0
A0A0S1WH53,0
A0A0S1WH68,0
A0A0S1WHA3,0
A0A0S2GL68,1
A0A0S2GLD4,1
A0A0S2GLQ0,0
A0A0S2MU54,1
A0A0S2MUC0,1
A0A0S2MUX2,1
A0A0S2MV84,1
A0A0S2MVL1,0
A0A0S2MVR5,1
A0A0S2MVZ0,0
A0A0S2MWH1,0
A0A0S2MX17,0
A0A0S2MXG7,1
A0A0S2MXR6,0
A0A0S2MXW6,1
A0A0S2MY35,1
A0A0S2MY87,1
A0A0S2MYF3,1
A0A0S2MYH4,1
A0A0S2SYD0,0
A0A0S3UG46,0
A0A0S3UG86,0
A0A0S4KWN4,0
A0A0S4L2W4,0
A0A0U1UNS2,0
A0A0U1VU02,0
A0A0U1WF03,1
A0A0U1WYI8,1
A0A0U1ZH11,0
A0A0U1ZWR4,1
A0A0U1ZY89,1
A0A0U2BX41,0
A0A0U2CHI1,0
A0A0U2CI93,0
A0A0U2D9J0,0
A0A0U2D9K0,0
A0A0U2DEN8,0
A0A0U2DFN4,0
A0A0U2DV48,0
A0A0U2I1S0,0
A0A0U2S643,0
A0A0U2SB45,0
A0A0U3A7A5,0
A0A0U3DEM8,0
A0A0U3E0R1,0
A0A0U3E1L6,0
A0A0U3E5Q4,0
A0A0U3TEY9,1
A0A0U3U037,1
A0A0U4AZT0,0
A0A0U4B0E4,0
A0A0U4B1M4,1
A0A0U4B2Z8,1
A0A0U4B3G8,1
A0A0U4B4T4,1
A0A0U4B6P5,1
A0A0U4B6V5,1
A0A0U4B7G4,1
A0A0U4B7G6,1
A0A0U4B7M6,1
A0A0U4I901,0
A0A0U4IDK0,1
A0A0U4IH88,1
A0A0U4IHI0,1
A0A0U4IPM3,1
A0A0U4IQB5,1
A0A0U4IR86,1
A0A0U4IT54,1
A0A0U4J8N7,1
A0A0U4JBK9,1
A0A0U4JCL8,1
A0A0U4JD12,1
A0A0U4JE28,1
A0A0U4JEI5,1
A0A0U4JFS1,1
A0A0U4JGP4,0
A0A0U4JHM3,1
A0A0U4JMT1,1
A0A0U4JP23,0
A0A0U4JP67,0
A0A0U4JPJ5,1
A0A0U4JSN5,1
A0A0U4JT40,1
A0A0U4JTJ1,1
A0A0U4JWK3,0
A0A0U4JY89,1
A0A0U4JZV3,1
A0A0U4K087,1
A0A0U4K0W8,1
A0A0U4K185,1
A0A0U4K1Z4,1
A0A0U4K335,1
A0A0U4K3I2,1
A0A0U4K7B3,1
A0A0U4K7T4,1
A0A0U4K7Y9,1
A0A0U4K8K2,1
A0A0U4K953,1
A0A0U4KC64,1
A0A0U4KMN9,1
A0A0U4KMZ8,1
A0A0U4KRD4,1
A0A0U4VUI2,0
A0A0U5A9C0,0
A0A0U5ARH0,0
A0A0U5ATD9,0
A0A0X8WP64,0
A0A0X8XCA1,0
A0A0Y0A787,1
A0A0Y0AH42,1
A0A0Y0AL50,1
A0A0Y0C4K2,1
A0A120HUJ8,1
A0A125RNP1,0
A0A125RNW2,1
A0A125RP85,0
A0A125RPJ3,1
A0A125RPX1,0
A0A125T2V9,0
A0A126DI76,0
A0A126GGF1,1
A0A126GGG2,1
A0A126GGG6,1
A0A126GGH3,1
A0A126GGK7,1
A0A126GGK9,1
A0A126GGL2,1
A0A126GGL6,1
A0A126GGW1,1
A0A126H8Z8,1
A0A126H956,1
A0A126H992,1
A0A126H9F2,1
A0A126H9I8,1
